               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,             0.03576,            0.049329,           0.0089071,             0.43439,             0.89286,             0.64344,             0.48191,            0.033771,            0.022535,            0.014175,           0.0086239,           0.0086239,           0.0086239
                 141,            0.033626,            0.047571,             0.01549,              0.4139,             0.91667,             0.61259,             0.45067,            0.032501,            0.022608,              0.0162,            0.008614,            0.008614,            0.008614
                 142,            0.036018,            0.050107,            0.010969,             0.42998,             0.92177,             0.64426,             0.45362,            0.033356,            0.022903,            0.016501,           0.0086041,           0.0086041,           0.0086041
                 143,            0.036029,            0.052618,           0.0098937,              0.4172,             0.88946,             0.61461,             0.43094,            0.035009,            0.023177,            0.015231,           0.0085942,           0.0085942,           0.0085942
                 144,            0.035904,            0.058135,           0.0085388,             0.41616,             0.95763,             0.60178,             0.42421,            0.034773,            0.021965,            0.014619,           0.0085843,           0.0085843,           0.0085843
                 145,            0.032341,            0.053617,            0.012179,             0.41769,             0.96088,             0.60839,             0.41721,            0.035667,            0.022259,            0.014378,           0.0085744,           0.0085744,           0.0085744
                 146,            0.037103,            0.060047,           0.0098494,             0.43371,             0.93197,             0.61189,             0.44307,            0.034826,            0.022944,            0.013998,           0.0085645,           0.0085645,           0.0085645
                 147,            0.033169,            0.049101,           0.0099006,             0.45264,             0.93197,             0.63601,             0.45725,            0.036598,            0.022774,            0.014108,           0.0085546,           0.0085546,           0.0085546
                 148,            0.037736,            0.048463,            0.012883,             0.45863,             0.92687,              0.6207,             0.43022,             0.03814,            0.023314,            0.014628,           0.0085447,           0.0085447,           0.0085447
                 149,            0.036215,            0.049656,            0.010176,             0.44335,             0.93707,             0.61172,             0.44268,            0.035817,            0.022021,            0.015175,           0.0085348,           0.0085348,           0.0085348
                 150,            0.040834,            0.054345,            0.012367,              0.4362,             0.92687,             0.62275,              0.4613,            0.035714,            0.022329,              0.0146,           0.0085249,           0.0085249,           0.0085249
                 151,             0.03806,            0.056104,           0.0092624,             0.43293,             0.89286,             0.62235,             0.46643,             0.03673,            0.022455,            0.014402,            0.008515,            0.008515,            0.008515
                 152,            0.036479,            0.052509,            0.011705,             0.42876,             0.92177,             0.63033,              0.4484,            0.037983,            0.022796,            0.014716,           0.0085051,           0.0085051,           0.0085051
                 153,            0.037446,            0.053444,            0.013364,             0.40965,             0.93197,               0.594,             0.43184,            0.037615,             0.02179,            0.015073,           0.0084952,           0.0084952,           0.0084952
                 154,            0.037008,            0.050371,           0.0096271,             0.41914,             0.93197,             0.61202,             0.44588,            0.037873,            0.022202,            0.015236,           0.0084853,           0.0084853,           0.0084853
                 155,            0.035511,            0.055095,            0.010344,              0.4251,             0.94218,             0.61181,              0.4526,            0.037473,            0.022602,            0.015253,           0.0084754,           0.0084754,           0.0084754
                 156,            0.035347,            0.054682,            0.011967,             0.42274,             0.94218,             0.65011,             0.47248,            0.036228,            0.021563,            0.015048,           0.0084655,           0.0084655,           0.0084655
